username,continent,tier,language,id,verified,signature,bioLink,commerceUser,commerceCategory,commerceButton,region,following,followers,total_likes,total_videos,videos_liked
emma_lascaris,Africa,nano,English,65812345788112896,False,Lifestyle - UGC creator  - Day in the life 💌,,False,none,False,ZA,1238,1590,57900,158,0
sayfjoumat,Africa,nano,French,172448238480965632,False,"Football player 
Instagram :sayfjoumat 
Snapchat  :sayfsj
🇲🇦🇫🇷",,True,"Sports, Fitness & Outdoors",False,MA,54,5221,34500,67,0
ndivhonthakssntha59,Africa,nano,English,6721396317727622150,False,There are no winners in life…only survivors.,,False,none,False,ZA,9981,2757,5747,186,0
nawaalisaacss,Africa,nano,English,6732210947815244806,False,🇿🇦 || 👩🏼‍⚕️🦷,,False,none,False,ZA,91,4027,21800,12,0
amanipillay,Africa,nano,English,6767997683161695237,False,🇿🇦,,False,none,False,ZA,325,5822,8894,13,0
bhonono_mvelase,Africa,nano,English,6806970413265339398,False,From 150(Ladysmith)🇿🇦🍸eZakheni.. God,,False,none,False,ZA,3008,3132,11800,65,0
original_store_1,Africa,nano,French,6693739277689684998,False,"📍شارع ملاي رشيد قسارية القدس طابق الاول  فوق 🏦 cih
Instagram/@gbmaxsport",,True,Clothing & Accessories,False,MA,32,4124,2168,13,0
kylie.naidoo01,Africa,nano,English,2471704,False,🇿🇦 | 23 | Cape Town,,False,none,False,ZA,489,8358,54800,19,0
zerodarkwade,Africa,nano,English,6730724527795667974,False,"South Africa 🇿🇦
Occasionally Funny 😁",,False,none,False,ZA,68,2195,37400,12,0
ziyaad_soloo,Africa,nano,English,6656105389254131717,False,"I take videos of everything 🎥
My Instagram is fire!
I am #wynberghockey",,False,none,False,ZA,3812,7293,196600,56,0
tthugwife,Africa,nano,English,6532058605720453122,False,wait this is a joke,,False,none,False,ZA,155,1467,177100,28,0
hibsblmdn,Africa,nano,French,308106388126400512,False,"Insta: hibablmdn
🫶🏼",,False,none,False,MA,2346,3694,14700,62,0
timmybear_naidoo,Africa,nano,English,6669265468685549574,False,"🇿🇦
1.52m short 
1995
🦀
Happily married",,False,none,False,ZA,167,9762,75000,653,0
kylosimons,Africa,nano,English,6776319033321374726,False,"📍S̸O̸U̸T̸H̸ A̸F̸R̸I̸C̸A̸ 🇿🇦
    {̸G̸O̸D̸ F̸I̸R̸S̸T̸}̸
S̸O̸C̸C̸E̸R̸⚽️❤️🇿🇦",,True,Gaming,False,ZA,918,6103,129500,493,0
tanner.prince_,Africa,nano,English,6735461661425173510,False,,,False,none,False,ZA,269,4270,40200,11,0
oumaima_cdl,Africa,nano,French,232660146387083265,False,"Casablanca,Morocco🇲🇦
19yo💕
if u know me, please don't follow me 😂",,False,none,False,MA,1667,5917,75200,7,0
yasssino_barberr,Africa,nano,French,6659532249174130694,False,💈Hair salon💈,,True,Beauty,False,CA,18,3463,12200,1,0
miks.gray,Africa,nano,English,6658298230604005381,False,please stop sending these to my school,,False,none,False,ZA,469,3052,91000,217,0
nawaalquman,Africa,nano,English,6657451307694145541,False,,,False,none,False,ZA,150,3396,22600,107,15800
