AuthorId,audio_arousal_bin_0,audio_arousal_bin_1,audio_arousal_bin_2,audio_arousal_bin_3,audio_arousal_bin_4,audio_arousal_bin_5,audio_arousal_bin_6,audio_arousal_bin_7,audio_arousal_bin_8,audio_arousal_bin_9,audio_arousal_bin_10,audio_arousal_bin_11,audio_dominance_bin_0,audio_dominance_bin_1,audio_dominance_bin_2,audio_dominance_bin_3,audio_dominance_bin_4,audio_dominance_bin_5,audio_dominance_bin_6,audio_dominance_bin_7,audio_dominance_bin_8,audio_dominance_bin_9,audio_dominance_bin_10,audio_dominance_bin_11,audio_valence_bin_0,audio_valence_bin_1,audio_valence_bin_2,audio_valence_bin_3,audio_valence_bin_4,audio_valence_bin_5,audio_valence_bin_6,audio_valence_bin_7,audio_valence_bin_8,audio_valence_bin_9,audio_valence_bin_10,audio_valence_bin_11,audio_arousal_min,audio_dominance_min,audio_valence_min,audio_arousal_max,audio_dominance_max,audio_valence_max,audio_arousal_mean,audio_dominance_mean,audio_valence_mean,audio_arousal_std,audio_dominance_std,audio_valence_std
@1020tinky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.63,0.42,0.75,0.63,0.42,0.75,0.63,0.42,,,
@123nigerianmovies,0.0,0.0,0.0625,0.0,0.0,0.125,0.0625,0.125,0.125,0.3125,0.125,0.0625,0.0,0.0,0.0,0.0625,0.0,0.125,0.125,0.1875,0.1875,0.25,0.0625,0.0,0.0,0.0,0.0,0.1875,0.1875,0.125,0.25,0.125,0.0,0.125,0.0,0.0,0.19,0.25,0.26,1.0,0.9,0.88,0.718125,0.67,0.486875,0.2159697123827011,0.1836300628982084,0.1882097677238529
@2009JoRose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.85,0.79,0.69,0.85,0.79,0.69,0.85,0.79,0.69,,,
@2mtv,0.0,0.0,0.0,0.05,0.0,0.25,0.3,0.2,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.05,0.15,0.3,0.15,0.15,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.15,0.25,0.2,0.15,0.05,0.0,0.0,0.26,0.26,0.3,0.96,0.86,0.81,0.593,0.54,0.5515,0.178062673768181,0.1775861540359021,0.1591515332201226
@3BHoops,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.54,0.64,0.15,0.99,0.93,0.78,0.7175,0.7525000000000001,0.4875,0.2153098542411222,0.1403269990652785,0.2617091260668353
@3alamuki,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.35,0.1,0.25,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.35,0.35,0.2,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.05,0.3,0.35,0.1,0.0,0.0,0.48,0.49,0.23,1.03,0.87,0.8,0.759,0.7125,0.63,0.1422710533860593,0.1039673531754838,0.159340747093173
@420LanCR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.61,0.65,0.46,0.85,0.77,0.73,0.73,0.7025,0.5700000000000001,0.0983192080250175,0.057373048260195,0.1140175425099137
@4DSmith,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.4285714285714285,0.2857142857142857,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.2857142857142857,0.1428571428571428,0.4285714285714285,0.0,0.0,0.0,0.0,0.0,0.47,0.4,0.17,0.91,0.81,0.6,0.6171428571428572,0.5457142857142857,0.4485714285714285,0.1609051776372538,0.1451272020053606,0.1606682473741644
@4EverDogs,0.0,0.0,0.0,0.0,0.05,0.05,0.15,0.05,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.15,0.2,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.15,0.5,0.2,0.05,0.05,0.0,0.0,0.35,0.41,0.38,0.87,0.84,0.83,0.7110000000000001,0.6745,0.583,0.1493106969059026,0.123180441031162,0.1004778058761446
@4FikiNubi,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.9,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.45,0.45,0.05,0.0,0.0,0.0,0.0,0.45,0.41,0.28,0.85,0.82,0.64,0.8119999999999999,0.75,0.496,0.0853229160308061,0.0811107105653812,0.1059990069466889
