AuthorId,audio_neu,audio_hap,audio_sad,audio_ang
@1020tinky,1.0,0.0,0.0,0.0
@123nigerianmovies,0.25,0.5625,0.125,0.0625
@2009JoRose,0.0,1.0,0.0,0.0
@2mtv,0.65,0.25,0.1,0.0
@3BHoops,0.5,0.0,0.5,0.0
@3alamuki,0.1,0.75,0.0,0.15
@420LanCR,0.75,0.25,0.0,0.0
@4DSmith,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0
@4EverDogs,0.0,0.95,0.0,0.05
@4FikiNubi,0.45,0.1,0.0,0.45
@4P5MC,0.2,0.3,0.0,0.5
@4THIMPACTMUSIC,0.3888888888888889,0.5555555555555556,0.05555555555555555,0.0
@4WD247,0.1,0.8,0.1,0.0
@4x4campingtrailers,0.6666666666666666,0.0,0.3333333333333333,0.0
@51MusicEntertainment,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.1111111111111111
@5MinuteCraftsTEENS,0.45,0.5,0.0,0.05
@5MinuteDECOR,0.6,0.3,0.05,0.05
@5SOS,0.9,0.1,0.0,0.0
@5inco-,0.0,1.0,0.0,0.0
@5startv.,0.3,0.65,0.0,0.05
@7NEWSSpotlight,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0
@7news,0.5,0.05,0.0,0.45
@7toun1,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.0
@888LAB,0.46153846153846156,0.38461538461538464,0.15384615384615385,0.0
@8BitCRPlays,0.1,0.85,0.0,0.05
@8bitStudiogames,0.25,0.65,0.1,0.0
@99fmnamibia49,0.0,0.0,0.0,1.0
@A24com,0.4,0.35,0.15,0.1
@ABCEducation,0.75,0.2,0.05,0.0
@ABN-Music,0.0,0.6666666666666666,0.0,0.3333333333333333
@ACurrentAffair9,0.25,0.45,0.25,0.05
@ADHDbuilt,0.5,0.5,0.0,0.0
@AFROSAVVY,0.0,1.0,0.0,0.0
@AIPursuit,0.0,1.0,0.0,0.0
@AJVGlobal,0.5294117647058824,0.35294117647058826,0.0,0.11764705882352941
@ALLinPav,0.2,0.8,0.0,0.0
@ALLoveMath,0.5454545454545454,0.36363636363636365,0.0,0.09090909090909091
@ANGELINERSFansclub,0.5,0.35,0.05,0.1
@ANMATV,0.05,0.9,0.05,0.0
@ANNATEKOmusic,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.07692307692307693
@APTACofficial,0.15,0.8,0.05,0.0
@ARCARTOONS,0.4,0.55,0.0,0.05
@ARPOTheRobot,0.65,0.35,0.0,0.0
@ASIYACHAIRLADY,0.42857142857142855,0.5714285714285714,0.0,0.0
@ASMR-MUKBANG,1.0,0.0,0.0,0.0
@ASPlay4U,0.0,1.0,0.0,0.0
@ASportspk,0.35,0.6,0.05,0.0
@ATuSaludConLaDraOceaniaMatos,0.0,1.0,0.0,0.0
@AXEFF,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.0
@AZACOOLPROD,0.0,1.0,0.0,0.0
@Aainanewsofficial,0.3333333333333333,0.5,0.16666666666666666,0.0
@AaronsAnimals,0.45,0.4,0.15,0.0
@AbbieLu,1.0,0.0,0.0,0.0
@AbbtakkNews,0.6,0.2,0.0,0.2
@Abdelhadi2K,1.0,0.0,0.0,0.0
@AbdoBelkhayattv,0.15,0.6,0.2,0.05
@AbdulbaasitAbdussamad,0.0,1.0,0.0,0.0
@AbimaelGarcia,0.0,0.7894736842105263,0.0,0.21052631578947367
@Abokistreetshow,0.0,0.0,1.0,0.0
@AbuTimur,0.4,0.4,0.15,0.05
@AdexeyNau,0.3,0.45,0.2,0.05
@Adhemz,0.4,0.45,0.15,0.0
@AdiBenToys,0.9333333333333333,0.06666666666666667,0.0,0.0
@AdilAssil,0.5714285714285714,0.42857142857142855,0.0,0.0
@AdlerssonReview,0.0,1.0,0.0,0.0
@AdobeAsiaPacific,0.8,0.15,0.05,0.0
@AdrdourMustapha,0.0,0.8947368421052632,0.0,0.10526315789473684
@AdrianaCaladoTV,0.15,0.7,0.15,0.0
@AdriftFishing,0.5,0.25,0.15,0.1
@Afechkoubrahim,0.25,0.5,0.25,0.0
@AfroNinja360,0.0,1.0,0.0,0.0
@AfterCraft7,0.35,0.65,0.0,0.0
@AglajaCH_Duschsysteme,0.5,0.5,0.0,0.0
@AgueroFotoVideo,0.0,0.75,0.0,0.25
@AhmadDauraTV,0.85,0.1,0.05,0.0
@Ahmychannel,0.2,0.4,0.4,0.0
@AkoBida,0.25,0.75,0.0,0.0
@AlaJaza,0.35,0.35,0.2,0.1
