"VideoID","video_hasText"
"--FI8XTaK3c",FALSE
"--W8jzxQLZk",FALSE
"--XKVSGSRLA",TRUE
"--zVbv3J6eY",TRUE
"-00-91RCrvY",FALSE
"-01sOsxpn6w",TRUE
"-0Fd1jzB9SM",FALSE
"-0GZAJH8BsU",FALSE
"-0OfxyyoGg4",TRUE
"-0nv1hnbTD4",TRUE
"-0rBK_fyvsQ",TRUE
"-1ECteEUC2E",TRUE
"-1Ml4HdfkJI",FALSE
"-1RLa6hrMvs",TRUE
"-1kDckWJhGQ",TRUE
"-1pKjexfN7w",FALSE
"-2M7vK-af3A",FALSE
"-2Ohb_tngI0",FALSE
"-2by0EYSt1o",TRUE
"-2rrMclJRjs",TRUE
"-2x29cPam2Y",TRUE
"-38mhMHDwBk",FALSE
"-3GdMo87Quk",TRUE
"-3NAHn7s26Q",TRUE
"-3h3Z3XoGvE",TRUE
"-3kvrDGAZUk",TRUE
"-3uR0IbYa00",FALSE
"-4173-R4esI",FALSE
"-4FyoGlCw1I",TRUE
"-4HIJyg4nRc",FALSE
"-4Q8GVhP6Dk",TRUE
"-4bZGWLgyNk",FALSE
"-4o4AKCs97g",TRUE
"-4riwH5TeIQ",FALSE
"-52Wbc2NUt0",TRUE
"-56eVnEUBeE",TRUE
"-5XwSxrmJN0",TRUE
"-5iB3ImLJEk",TRUE
"-5t4Eu-mfws",FALSE
"-5z6VBs0HsY",TRUE
"-69HORSdMtA",FALSE
"-6DLrPCLfzs",FALSE
"-6GroSy_Npc",FALSE
"-6MHXIS0yrY",TRUE
"-6jNLXtVZq0",TRUE
"-6q75k2eYFk",FALSE
"-6rGqG0TbUg",TRUE
"-6sdxT9RJyY",FALSE
"-705We0fY2k",FALSE
"-78a_fF6k0Y",FALSE
"-7Fkoq8WGfQ",FALSE
"-7XFbMTNsJk",TRUE
"-7f45vSl5Q4",FALSE
"-7hCaRfxhUg",TRUE
"-7p8afNz5qw",TRUE
"-7qXw46D8sM",TRUE
"-87bgZGlhw0",TRUE
"-8CY7sA_RRc",FALSE
"-8HbUZXBheo",TRUE
"-8OZpNqudlw",TRUE
"-8V4uGvMjsw",TRUE
"-93rbxbwl0Q",FALSE
"-98IJCX3zG0",FALSE
"-9H8cc5u_FQ",TRUE
"-9IQ3FxW-Ag",TRUE
"-9PRToUE6uo",FALSE
"-9VfX8tI2Nk",TRUE
"-9gICVOekE0",FALSE
"-9keg4h146A",TRUE
"-9vJeGPyZJQ",TRUE
"-9xEC4o7tSg",TRUE
"-A-NGJMmkVI",FALSE
"-A-kng2yXhE",TRUE
"-A5llFvkP0I",FALSE
"-ADr3Zc-7mE",FALSE
"-AEjEMJjVlI",FALSE
"-APCbnYgEH4",TRUE
"-AXbAeYGVkc",FALSE
"-Ai7s7Lu7ws",FALSE
"-ApARMNJQBw",FALSE
"-B2TeVw2hbY",FALSE
"-BgHSNdga9k",TRUE
"-BvuqbqVSxE",FALSE
"-BzlriS3JPM",TRUE
"-C6cBsWW4kI",TRUE
"-Cf6HXSzGyM",TRUE
"-CyvyJAq17A",TRUE
"-D06vxRcjSE",TRUE
"-D2k2GTOUA8",TRUE
"-D3_6olAzp0",TRUE
"-DLY5T86J3Q",FALSE
"-DXo-k1Tp9g",FALSE
"-Dg5kmDAUrA",TRUE
"-Dw9IKsTADE",TRUE
"-EGQtnqJfgs",TRUE
"-EigrkLe4Oc",TRUE
"-Eq8CoQQx8I",TRUE
"-FEOLM1M_Po",FALSE
"-FJe_xarvGM",FALSE
"-FOEq1qaFJ8",TRUE
"-FUXuyI1FvA",TRUE
"-FiZtZNx0eo",TRUE
"-Fye4e6snTI",TRUE
"-GWQQBd83Ew",FALSE
"-GW_fIXjq2g",TRUE
"-GYsfPkbhbg",TRUE
"-GguYl_OzRQ",TRUE
"-GhZjrVmnvg",TRUE
"-GjjXbfcPc0",TRUE
"-GtcBsZJjHs",FALSE
"-GxLVx3ipQI",TRUE
"-GyOEgVtRuY",TRUE
"-H-gOC1UNLI",FALSE
"-H2VW8Li494",TRUE
"-H74BzQcSLQ",FALSE
"-HMwGPN2uF4",TRUE
"-HPeyTQno60",TRUE
"-HTdOjIIgUI",FALSE
"-HpBROco3so",FALSE
"-I3QzZDg3SY",TRUE
"-IBF2JF8UUs",TRUE
"-IGPhkCEItE",TRUE
"-ILK-GwQer8",FALSE
"-InclZby8-E",FALSE
"-IrCmjXlW24",FALSE
"-IrdbgnIRfg",TRUE
"-Is5K8b0FIw",TRUE
