"VideoID","duration","height","width","heightXwidth"
"1RGvTYltJRw",59,1280,720,921600
"1RcnNU6TIHQ",25,1280,720,921600
"1Rd6PeGzA6E",53,1280,720,921600
"1RkHyq3qJOE",15,720,406,292320
"1RlhB1cBGsU",53,1280,720,921600
"1RziXH88KVs",41,960,720,691200
"1S3q-xNWoTw",0,0,0,0
"1S4RpNiesBk",15,720,720,518400
"1SEIdtiH4pA",60,1280,720,921600
"1SEJfeR7HSM",44,1280,720,921600
"1SGwT62wr18",21,720,406,292320
"1Sh_7j_zZn8",50,1280,720,921600
"1SmDwyopX9s",60,1280,720,921600
"1TR6sq3xUFQ",28,720,720,518400
"1TVkItywso0",60,1280,720,921600
"1TdbqfyZd0Q",25,1280,720,921600
"1TfqvM3xhJk",46,1280,720,921600
"1ToJiy97cFY",42,1280,720,921600
"1ToMf7sY-MM",44,1280,720,921600
"1Twb7pYHpOI",60,1280,720,921600
"1TzhvFWu27g",16,1280,720,921600
"1U-urv58rZ8",30,1280,720,921600
"1UF1F0_4ifQ",17,1280,720,921600
"1UJHGIoGFJg",19,1280,720,921600
"1UbC07QBfJE",15,1280,720,921600
"1Ue1LqRjmwc",42,1280,720,921600
"1UetpjjXNU8",60,1280,720,921600
"1UnPHYXd1RE",60,1280,720,921600
"1UqSsmU2n_s",23,1280,720,921600
"1V-KkF9EhBU",50,1280,720,921600
"1VQyY2WTXtg",35,1280,720,921600
"1VV3ZRP6myg",58,1280,720,921600
"1VVQLwO8N0I",41,720,720,518400
"1VcILlDLeKU",9,1024,576,589824
"1ViMVQ9fohk",15,1280,720,921600
"1WHrGzGXIdo",15,720,720,518400
"1WIlWbDgOrc",59,1280,592,757760
"1WMLajntCbs",15,720,720,518400
"1Wah6EmzetM",54,1280,720,921600
"1WjYcdxUmt0",33,488,360,175680
"1WtqvUWlOAU",14,1280,720,921600
"1WwUGNTF-08",33,1280,720,921600
"1X9EXebdeVg",16,1280,720,921600
"1XPl01JGqaE",20,1280,720,921600
"1XT0xxF-GLQ",45,640,360,230400
"1Xg0bBZoIFQ",54,1280,720,921600
"1XiEytUDOeQ",38,1280,720,921600
"1XiQEpkJTSU",17,720,720,518400
"1Xq8vtBf19I",58,1280,720,921600
"1Xz8LUz1OkU",15,720,406,292320
"1YCHF7BXUpM",11,720,720,518400
"1YFtyZnDC8g",30,720,406,292320
"1YJ8gViRV0I",60,1280,720,921600
"1YLIoGMH9k4",32,1280,720,921600
"1YLfKWpobFQ",14,720,406,292320
"1YbZS0THZt8",27,1280,720,921600
"1Yg6tMJ0pTg",10,1280,720,921600
"1YrlRk3l4So",32,1280,720,921600
"1Yy5fxTY3fI",28,1280,720,921600
"1Z6QfgjNDA8",18,1280,720,921600
"1ZDZrRdg38E",14,1280,720,921600
"1ZgRCGlqiCI",12,1280,720,921600
"1ZrV5P1JrWc",42,636,360,228960
"1_9MpLOJReU",54,720,406,292320
"1_JmgiJhvWI",57,1280,720,921600
"1_Mq_XVfHx0",58,1280,720,921600
"1_Pja6RBsV0",17,1280,720,921600
"1_bKRDaBn6U",59,1280,720,921600
"1_uoK2QvbsM",38,1280,720,921600
"1a1T4v1vjVk",33,1280,720,921600
"1aVdOMuEE1U",36,1280,720,921600
"1aWAu3VW4iE",17,1280,720,921600
"1aXxPHAyqRc",18,1280,720,921600
"1abrS4oAUJk",37,1280,720,921600
"1abxEKiOmuA",31,1280,720,921600
"1afdWjvD5ds",33,720,720,518400
"1auONr2fWSk",30,360,198,71280
"1b1tqm_vPYc",60,1280,720,921600
"1bEJP5lfJuA",15,1280,720,921600
"1bKXcIdgusw",30,1280,720,921600
"1bMAsI9ggcs",6,1280,720,921600
"1bNCZA4vi5A",60,720,720,518400
"1bOcwQeZPuM",50,720,406,292320
"1bUqgDr8qAQ",16,1280,720,921600
"1b_nE8zfPMU",31,1280,720,921600
"1bjs6LbEMT0",37,1280,720,921600
"1btC0Q2mUDg",44,1280,720,921600
"1btmGzHo_wk",16,720,406,292320
"1bziaZlTucE",49,1280,720,921600
"1cLM67LnhwE",33,1280,720,921600
"1cbZ-fWmw6w",59,1280,720,921600
"1cksdX3ztzg",15,1280,720,921600
"1crtZHniDqk",24,1280,720,921600
"1cyqGrV9gzo",57,1280,720,921600
"1dC3qrfwIr4",45,1280,720,921600
"1dHyNXi1v58",59,1280,720,921600
"1dOVM5b0jkM",52,1280,720,921600
"1dVw1sbpydQ",15,720,406,292320
"1dl-3tMbrWY",41,1280,720,921600
"1dpdiYWWda8",30,1280,720,921600
"1dt7nxEIRtE",14,1280,720,921600
"1dwQa3U32JI",55,1280,720,921600
"1e9FZChvYOE",55,1280,720,921600
"1eA87_Y2ZWo",8,1280,720,921600
"1eCHYMXVssA",14,1280,720,921600
"1eHL9zijeA4",51,1280,720,921600
"1eJZYD9BlvI",36,1280,720,921600
"1ePXzCc6NW8",36,1280,720,921600
"1eQG-uZOKAM",14,360,270,97200
"1eRKTdeciT0",50,1280,720,921600
"1e_OaHx_2XE",11,1280,720,921600
"1ednHGAjhuo",27,1280,720,921600
"1f76p6TPWtg",58,720,406,292320
"1fAZlR0xL1A",58,1280,720,921600
"1fHXB9eFiuM",60,1280,720,921600
"1fJHtCu8NWE",38,1280,720,921600
"1fY61u06w5A",49,1280,720,921600
"1fyrEC3IcHU",9,1280,720,921600
"1g1Jstqr3bM",53,1280,720,921600
"1gIv6OultQk",49,1280,720,921600
"1gLskfxQlr0",38,1280,720,921600
"1gTtmGyOY9E",59,1280,720,921600
"1gjfIZyapLE",60,1280,720,921600
"1goXY7Asunk",52,1280,720,921600
"1gvhc0A2cs8",60,1280,720,921600
"1hHGdnqZme4",54,720,406,292320
"1hMDmgYNdQs",56,1280,720,921600
"1hRoSsSUenM",27,1280,720,921600
"1hTsFHNInjA",45,720,406,292320
"1hX258mRnsY",20,1280,720,921600
"1hvuAbNdeTk",59,1280,720,921600
"1hzw2411RMo",15,1280,720,921600
"1i1yQc-TB_k",58,1280,720,921600
"1i7970iz9jk",11,1280,720,921600
"1iBLHs42Sv4",60,1280,720,921600
"1iGUG3szpgw",51,1280,720,921600
"1iJhnkGdI-g",51,1280,720,921600
"1iKXOdOwf1c",55,1280,720,921600
"1iWGJtLpaZ8",38,1280,720,921600
"1iaC_PvJcjA",5,720,406,292320
"1jO9LUsChS0",23,1280,720,921600
"1jSv0eBn55I",41,1280,720,921600
"1jVYx3ybCM4",50,1280,720,921600
"1jj-uzm0v60",57,1280,720,921600
"1joOjG98qzY",22,1280,720,921600
"1jpYIpVYMdc",15,1280,720,921600
"1k9qElQyGis",60,1280,720,921600
"1kKex2n6Ayg",52,1280,720,921600
"1kWXqhYmA0U",21,1280,720,921600
"1kniRx43r3E",60,1280,720,921600
"1l00VbhA6tA",14,1280,720,921600
"1l4f61lYwlU",26,1280,720,921600
"1lAL1-QLSe4",47,720,406,292320
"1lK_Vd2uuZo",49,720,720,518400
