AuthorId,text_CaptionLength_bin_0,text_CaptionLength_bin_1,text_CaptionLength_bin_2,text_CaptionLength_bin_3,text_CaptionLength_bin_4,text_CaptionLength_bin_5,text_CaptionLength_bin_6,text_CaptionLength_bin_7,text_CaptionLength_bin_8,text_CaptionLength_bin_9,text_CaptionLength_bin_10,text_CaptionLength_bin_11,text_EmojisLength_bin_0,text_EmojisLength_bin_1,text_EmojisLength_bin_2,text_EmojisLength_bin_3,text_EmojisLength_bin_4,text_EmojisLength_bin_5,text_EmojisLength_bin_6,text_EmojisLength_bin_7,text_EmojisLength_bin_8,text_EmojisLength_bin_9,text_EmojisLength_bin_10,text_EmojisLength_bin_11,text_n_hashtag_bin_0,text_n_hashtag_bin_1,text_n_hashtag_bin_2,text_n_hashtag_bin_3,text_n_hashtag_bin_4,text_n_hashtag_bin_5,text_n_hashtag_bin_6,text_n_hashtag_bin_7,text_n_hashtag_bin_8,text_n_hashtag_bin_9,text_n_hashtag_bin_10,text_n_hashtag_bin_11,text_CaptionLength_min,text_EmojisLength_min,text_n_hashtag_min,text_CaptionLength_max,text_EmojisLength_max,text_n_hashtag_max,text_CaptionLength_mean,text_EmojisLength_mean,text_n_hashtag_mean,text_CaptionLength_std,text_EmojisLength_std,text_n_hashtag_std,text_EmoNegative_bin_0,text_EmoNegative_bin_1,text_EmoNegative_bin_2,text_EmoNegative_bin_3,text_EmoNegative_bin_4,text_EmoNegative_bin_5,text_EmoNegative_bin_6,text_EmoNegative_bin_7,text_EmoNegative_bin_8,text_EmoNegative_bin_9,text_EmoNegative_bin_10,text_EmoNegative_bin_11,text_EmoNeutral_bin_0,text_EmoNeutral_bin_1,text_EmoNeutral_bin_2,text_EmoNeutral_bin_3,text_EmoNeutral_bin_4,text_EmoNeutral_bin_5,text_EmoNeutral_bin_6,text_EmoNeutral_bin_7,text_EmoNeutral_bin_8,text_EmoNeutral_bin_9,text_EmoNeutral_bin_10,text_EmoNeutral_bin_11,text_EmoPositive_bin_0,text_EmoPositive_bin_1,text_EmoPositive_bin_2,text_EmoPositive_bin_3,text_EmoPositive_bin_4,text_EmoPositive_bin_5,text_EmoPositive_bin_6,text_EmoPositive_bin_7,text_EmoPositive_bin_8,text_EmoPositive_bin_9,text_EmoPositive_bin_10,text_EmoPositive_bin_11,text_EmoSentScore_bin_0,text_EmoSentScore_bin_1,text_EmoSentScore_bin_2,text_EmoSentScore_bin_3,text_EmoSentScore_bin_4,text_EmoSentScore_bin_5,text_EmoSentScore_bin_6,text_EmoSentScore_bin_7,text_EmoSentScore_bin_8,text_EmoSentScore_bin_9,text_EmoSentScore_bin_10,text_EmoSentScore_bin_11,text_EmoNegative_min,text_EmoNeutral_min,text_EmoPositive_min,text_EmoSentScore_min,text_EmoNegative_max,text_EmoNeutral_max,text_EmoPositive_max,text_EmoSentScore_max,text_EmoNegative_mean,text_EmoNeutral_mean,text_EmoPositive_mean,text_EmoSentScore_mean,text_EmoNegative_std,text_EmoNeutral_std,text_EmoPositive_std,text_EmoSentScore_std
@4EverDogs,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05,0.15,0.25,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.55,0.0,0.25,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0,0,0,599,11,3,497.0,8.75,2.85,133.3807371873149,2.4251966822029964,0.670820393249937,0.0,0.9085714285714286,0.0914285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.1085714285714285,0.68,0.0,0.0,0.0,0.0914285714285714,0.0,0.0,0.0,0.0,0.0914285714285714,0.0,0.0,0.4628571428571428,0.3257142857142857,0.0,0.12,0.0,0.0,0.0,0.0,0.0914285714285714,0.0,0.0,0.0,0.68,0.1085714285714285,0.0,0.0,0.0914285714285714,0.0,0.0285714285714285,0.009009009009009,0.109090909090909,0.1576576576576576,0.149,0.109090909090909,0.8333333333333334,0.7818181818181819,0.74,0.0677352336522527,0.4289073847119472,0.5033573816358,0.4356285714285714,0.0241061270467067,0.1665410815143306,0.1463103832494355,0.1274314072228586
@4FikiNubi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1166,12,5,1166,12,5,1166.0,12.0,5.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0656934306569343,0.583941605839416,0.2475961538461538,0.118,0.1298076923076923,0.6225961538461539,0.3503649635036496,0.285,0.0763791409320606,0.5903840305072057,0.3332368285607337,0.2571666666666666,0.0239439097785683,0.0144358054849989,0.0383797152635672,0.0623672928622681
@4P5MC,0.0,0.1,0.0,0.3,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,148,0,2,551,2,4,300.7,0.2,2.9,105.8227553768827,0.6324555320336759,0.875595035770913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0789473684210526,0.3,0.6210526315789474,0.542,0.0789473684210526,0.3,0.6210526315789474,0.542,0.0789473684210526,0.3,0.6210526315789474,0.542,0.0,0.0,0.0,0.0
@51MusicEntertainment,0.0,0.7777777777777778,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,378,3,0,441,9,0,387.55555555555554,4.0,0.0,21.43659902544659,2.1213203435596424,0.0,0.0,0.0277777777777777,0.9722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9722222222222222,0.0277777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9722222222222222,0.0277777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0277777777777777,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0277777777777777,0.0656934306569343,0.583941605839416,0.2475961538461538,0.118,0.1298076923076923,0.6225961538461539,0.3503649635036496,0.285,0.1216699029883336,0.5914636557177616,0.2868664412939047,0.1651388888888889,0.009661261464047,0.0054568681713899,0.0126394876946293,0.0218725565528753
@5MinuteCraftsTEENS,0.0,0.05,0.0,0.0,0.0,0.0,0.35,0.0,0.2,0.1,0.0,0.3,0.0,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1344,8,0,992.65,1.1,0.0,330.41493451018283,2.4039441275580957,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363636,0.0909090909090909,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.3636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.3636363636363636,0.0,0.583941605839416,0.2671755725190839,0.214,0.0656934306569343,0.7222222222222222,0.3503649635036496,0.285,0.0287462579210503,0.6680444608789179,0.3032092812000317,0.2747272727272727,0.0324081089189061,0.0662126771902435,0.0366107320373724,0.0199384333773023
@5MinuteDECOR,0.0,0.05,0.0,0.05,0.0,0.15,0.5,0.05,0.0,0.0,0.15,0.05,0.0,0.2,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.7,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.05,1111,1,1,1434,9,4,1295.7,7.05,2.95,80.7674374198439,3.3162280411715703,0.5104177855340405,0.0,0.9929078014184396,0.0070921985815602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0283687943262411,0.0212765957446808,0.0,0.1418439716312056,0.1134751773049645,0.6950354609929078,0.0,0.0,0.0,0.0,0.0,0.0,0.8014184397163121,0.1347517730496454,0.0,0.0141843971631205,0.0354609929078014,0.0141843971631205,0.0,0.0,0.0,0.0,0.0070921985815602,0.0992907801418439,0.8226950354609929,0.0070921985815602,0.0,0.0,0.0496453900709219,0.0,0.0,0.0,0.0141843971631205,0.0,0.2010309278350515,0.2626728110599078,0.14,0.1228878648233487,0.7222222222222222,0.7680412371134021,0.737,0.0179176220428273,0.6740348272228555,0.3080475507343171,0.2903475177304964,0.0294178204439993,0.1042075297919263,0.0879861246202601,0.0796420550979374
@5startv.,0.0,0.65,0.1,0.0,0.05,0.0,0.05,0.1,0.0,0.0,0.0,0.05,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.3,0.15,0.3,0.15,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0,0,0,3528,11,29,664.7,0.55,6.35,1015.4062759620692,2.4596747752497685,7.080551569356429,0.0,0.5454545454545454,0.2727272727272727,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1818181818181818,0.2727272727272727,0.1818181818181818,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0,0.0,0.0,0.0909090909090909,0.0,0.0909090909090909,0.0,0.0909090909090909,0.0,0.1818181818181818,0.3636363636363636,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0909090909090909,0.0909090909090909,0.1818181818181818,0.0,0.0,0.0,0.1818181818181818,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.1818181818181818,0.0,0.1924342105263158,0.0,0.0,0.263716814159292,1.0,0.7546600877192983,0.702,0.0936448012253633,0.3966796003841209,0.5096755983905156,0.416,0.0952354347518134,0.2400629873350411,0.2247015751486243,0.2480306432681252
@7toun1,0.0,0.9230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.9230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,927,1,0,71.3076923076923,0.0769230769230769,0.0,257.10354095039366,0.2773500981126146,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1298076923076923,0.6225961538461539,0.2475961538461538,0.118,0.1298076923076923,0.6225961538461539,0.2475961538461538,0.118,0.1298076923076923,0.6225961538461539,0.2475961538461538,0.118,,,,
@8BitCRPlays,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0,0,0,1491,12,3,223.65,1.8,0.45,546.2241948619921,4.396170582390279,1.0990426455975697,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0534351145038167,0.5577889447236181,0.2671755725190839,0.214,0.0552763819095477,0.6793893129770993,0.3869346733668342,0.332,0.0540488703057271,0.6388558568926056,0.3070952728016674,0.2533333333333333,0.0008802941923058,0.0581360956168634,0.0572558014245575,0.0564147903605833
@8bitStudiogames,0.0,0.55,0.0,0.0,0.05,0.05,0.0,0.25,0.0,0.05,0.0,0.05,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0,0,0,1585,2,5,480.35,0.1,0.65,583.4844764092069,0.4472135954999579,1.6311119875071345,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4285714285714285,0.4285714285714285,0.1428571428571428,-0.286,0.4285714285714285,0.4285714285714285,0.1428571428571428,-0.286,0.4285714285714285,0.4285714285714285,0.1428571428571428,-0.286,0.0,0.0,0.0,0.0
